Train Accuracy,Validation Accuracy,Test Accuracy,Train Loss,Validation Loss,Test Loss
0.019159562805329523,0.09199775729197354,0.09204429412382333,8.758578610562813,8.223608311696267,8.22746432845916
0.0921742393628471,0.09210564081917456,0.09211057385233179,7.784962337122873,7.396697591896632,7.399457231837901
0.09217921105530939,0.09206191023540257,0.09204379807989202,7.188055314168189,6.926581188661968,6.932758306139078
0.0921687964616161,0.09203371978435085,0.09225107240841617,6.775310185258029,6.4950484115274705,6.498456541617312
0.09218567417249163,0.09203371978435085,0.09225107240841617,6.348422773011195,6.16290847500365,6.1671576332207305
0.09217665284675061,0.09203371978435085,0.09225107240841617,6.158112015032265,5.967139307578005,5.971686264977383
0.09759600572628085,0.1140794985033759,0.11433898088470776,5.8809902271010195,5.766931272631314,5.77215669502565
0.10724957120805031,0.11714217295149464,0.11734690932772267,5.73179909205114,5.657635849324902,5.663374132846468
0.11085726355686479,0.11633291434328161,0.11653752881453265,5.618504059250939,5.539148947701382,5.545604599181132
0.10752046446418252,0.10793131558065439,0.10808618694319198,5.521135058686686,5.460745695248321,5.467892632412551
0.10256875167768782,0.10052497040985817,0.10070294581690625,5.454055911308195,5.390002275831137,5.397731494663947
0.09912123452540197,0.09441180937179369,0.0944005436072098,5.378764960163226,5.320677995681763,5.328961184276408
